entities: 131  relations: 5  max_triples: 5
Epoch 220/300 | Total   0.4402 | CE   0.0841 | KL   0.3561
Epoch 221/300 | Total   0.4401 | CE   0.0835 | KL   0.3565
Epoch 222/300 | Total   0.4397 | CE   0.0836 | KL   0.3561
Epoch 223/300 | Total   0.4390 | CE   0.0828 | KL   0.3562
Epoch 224/300 | Total   0.4396 | CE   0.0832 | KL   0.3563
Epoch 225/300 | Total   0.4387 | CE   0.0830 | KL   0.3557
Epoch 226/300 | Total   0.0052 | CE   0.0052 | KL   0.9273
Epoch 227/300 | Total   0.0204 | CE   0.0024 | KL   0.6738
Epoch 228/300 | Total   0.0349 | CE   0.0041 | KL   0.5776
Epoch 229/300 | Total   0.0493 | CE   0.0056 | KL   0.5461
Epoch 230/300 | Total   0.0631 | CE   0.0070 | KL   0.5260
Epoch 231/300 | Total   0.0766 | CE   0.0085 | KL   0.5113
Epoch 232/300 | Total   0.0898 | CE   0.0100 | KL   0.4991
Epoch 233/300 | Total   0.1030 | CE   0.0115 | KL   0.4901
Epoch 234/300 | Total   0.1159 | CE   0.0130 | KL   0.4822
Epoch 235/300 | Total   0.1287 | CE   0.0147 | KL   0.4748
Epoch 236/300 | Total   0.1409 | CE   0.0162 | KL   0.4675
Epoch 237/300 | Total   0.1533 | CE   0.0180 | KL   0.4612
Epoch 238/300 | Total   0.1658 | CE   0.0197 | KL   0.4563
Epoch 239/300 | Total   0.1777 | CE   0.0214 | KL   0.4508
Epoch 240/300 | Total   0.1895 | CE   0.0231 | KL   0.4455
Epoch 241/300 | Total   0.2008 | CE   0.0248 | KL   0.4399
Epoch 242/300 | Total   0.2122 | CE   0.0265 | KL   0.4352
Epoch 243/300 | Total   0.2242 | CE   0.0284 | KL   0.4317
Epoch 244/300 | Total   0.2350 | CE   0.0303 | KL   0.4264
Epoch 245/300 | Total   0.2463 | CE   0.0323 | KL   0.4223
Epoch 246/300 | Total   0.2575 | CE   0.0342 | KL   0.4186
Epoch 247/300 | Total   0.2685 | CE   0.0362 | KL   0.4149
Epoch 248/300 | Total   0.2796 | CE   0.0383 | KL   0.4113
Epoch 249/300 | Total   0.2905 | CE   0.0405 | KL   0.4076
Epoch 250/300 | Total   0.3006 | CE   0.0420 | KL   0.4041
Epoch 251/300 | Total   0.3112 | CE   0.0445 | KL   0.4001
Epoch 252/300 | Total   0.3227 | CE   0.0468 | KL   0.3979
Epoch 253/300 | Total   0.3323 | CE   0.0489 | KL   0.3936
Epoch 254/300 | Total   0.3432 | CE   0.0513 | KL   0.3909
Epoch 255/300 | Total   0.3532 | CE   0.0532 | KL   0.3879
Epoch 256/300 | Total   0.3634 | CE   0.0559 | KL   0.3843
Epoch 257/300 | Total   0.3726 | CE   0.0582 | KL   0.3803
Epoch 258/300 | Total   0.3832 | CE   0.0605 | KL   0.3783
Epoch 259/300 | Total   0.3930 | CE   0.0634 | KL   0.3745
Epoch 260/300 | Total   0.4032 | CE   0.0662 | KL   0.3718
Epoch 261/300 | Total   0.4122 | CE   0.0678 | KL   0.3691
Epoch 262/300 | Total   0.4226 | CE   0.0707 | KL   0.3666
Epoch 263/300 | Total   0.4314 | CE   0.0735 | KL   0.3628
Epoch 264/300 | Total   0.4367 | CE   0.0751 | KL   0.3616
Epoch 265/300 | Total   0.4361 | CE   0.0757 | KL   0.3605
Epoch 266/300 | Total   0.4353 | CE   0.0758 | KL   0.3594
Epoch 267/300 | Total   0.4360 | CE   0.0762 | KL   0.3597
Epoch 268/300 | Total   0.4356 | CE   0.0764 | KL   0.3592
Epoch 269/300 | Total   0.4354 | CE   0.0767 | KL   0.3587
Epoch 270/300 | Total   0.4353 | CE   0.0763 | KL   0.3590
Epoch 271/300 | Total   0.4356 | CE   0.0767 | KL   0.3589
Epoch 272/300 | Total   0.4355 | CE   0.0767 | KL   0.3589
Epoch 273/300 | Total   0.4353 | CE   0.0766 | KL   0.3587
Epoch 274/300 | Total   0.4359 | CE   0.0768 | KL   0.3591
Epoch 275/300 | Total   0.4358 | CE   0.0769 | KL   0.3589
Epoch 276/300 | Total   0.4358 | CE   0.0771 | KL   0.3587
Epoch 277/300 | Total   0.4357 | CE   0.0771 | KL   0.3587
Epoch 278/300 | Total   0.4353 | CE   0.0770 | KL   0.3584
Epoch 279/300 | Total   0.4353 | CE   0.0770 | KL   0.3583
Epoch 280/300 | Total   0.4350 | CE   0.0772 | KL   0.3579
Epoch 281/300 | Total   0.4348 | CE   0.0772 | KL   0.3576
Epoch 282/300 | Total   0.4360 | CE   0.0776 | KL   0.3583
Epoch 283/300 | Total   0.4359 | CE   0.0774 | KL   0.3585
Epoch 284/300 | Total   0.4355 | CE   0.0774 | KL   0.3580
Epoch 285/300 | Total   0.4349 | CE   0.0772 | KL   0.3577
Epoch 286/300 | Total   0.4343 | CE   0.0772 | KL   0.3571
Epoch 287/300 | Total   0.4353 | CE   0.0777 | KL   0.3576
Epoch 288/300 | Total   0.4356 | CE   0.0775 | KL   0.3581
Epoch 289/300 | Total   0.4347 | CE   0.0774 | KL   0.3573
Epoch 290/300 | Total   0.4345 | CE   0.0774 | KL   0.3571
Epoch 291/300 | Total   0.4350 | CE   0.0775 | KL   0.3575
Epoch 292/300 | Total   0.4344 | CE   0.0773 | KL   0.3571
Epoch 293/300 | Total   0.4346 | CE   0.0774 | KL   0.3573
Epoch 294/300 | Total   0.4349 | CE   0.0774 | KL   0.3575
Epoch 295/300 | Total   0.4348 | CE   0.0773 | KL   0.3575
Epoch 296/300 | Total   0.4352 | CE   0.0777 | KL   0.3575
Epoch 297/300 | Total   0.4348 | CE   0.0772 | KL   0.3576
Epoch 298/300 | Total   0.4344 | CE   0.0774 | KL   0.3571
Epoch 299/300 | Total   0.4351 | CE   0.0775 | KL   0.3576
Epoch 300/300 | Total   0.4354 | CE   0.0776 | KL   0.3579


Example graph (conditioned on test entities):
[('_academic', 'has_name', 'Anita McCabe'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '2006'), ('_time', 'end_year', '2020')]

Semantic evaluation – graphs conditioned on test entities:
Semantic Evaluation Results:
Semantics: 100.0%
Novel_semantics: 100.0%
Novel: 100.0%
Known: 0.0%
Empty: 0.0%

Graph Samples (Printing only 5 samples):

Valid graphs:
Count: 0
Sample: []

Valid novel graphs:
Count: 10000
Sample: [(('_academic', 'has_name', 'Rahul Rowan'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '2011'), ('_time', 'end_year', '2019')), (('_academic', 'has_name', 'Boglárka Rosenberg'), ('_academic', 'has_role', 'phd researcher'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1990'), ('_time', 'end_year', '1993')), (('_academic', 'has_name', 'Meera Mac Amhalghaidh'), ('_academic', 'has_role', 'post doctoral researcher'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '2001'), ('_time', 'end_year', '2003')), (('_academic', 'has_name', 'Tahlako Plaskett'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1969'), ('_time', 'end_year', '1988')), (('_academic', 'has_name', 'Danya Maçon'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1964'), ('_time', 'end_year', '1988'))]

Invalid graphs:
Count: 0
Sample: []


Example graph (random latent):
[('_academic', 'has_name', 'Teófilo Gupta'), ('_academic', 'has_role', 'professor'), ('_academic', 'has_time', '_time'), ('_time', 'start_year', '1991'), ('_time', 'end_year', '2002')]

Semantic evaluation – graphs from random latent:
Semantic Evaluation Results:
Semantics: 100.0%
Novel_semantics: 100.0%
Novel: 100.0%
Known: 0.0%
Empty: 0.0%

Graph Samples (Printing only 5 samples):

Valid graphs:
Count: 0
Sample: []

Valid novel graphs:
Count: 10000
